id,version,block,emotionapi,imgfilename,participant,imgfps,imgtimestamp,anger,joy,sorrow,surprise,unknown,detection
59626abffbc5be35a4a08bd5,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2510.jpg,1,3fps,imgtimestamp,0,0,0,0,87.70991563796997,true
59626abffbc5be35a4a08bd6,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2511.jpg,1,3fps,imgtimestamp,0,0,0,0,86.41655445098877,true
59626abffbc5be35a4a08bd7,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1819.jpg,1,3fps,imgtimestamp,0,99.30203557014465,0,0,0,true
59626ac0fbc5be35a4a08bd8,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-856.jpg,1,3fps,imgtimestamp,0,0,0,0,99.77445006370544,true
59626ac0fbc5be35a4a08bd9,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-857.jpg,1,3fps,imgtimestamp,0,0,0,0,99.93530511856079,true
59626ac0fbc5be35a4a08bda,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-858.jpg,1,3fps,imgtimestamp,0,0,0,0,99.98554587364197,true
59626ac0fbc5be35a4a08bdb,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2181.jpg,1,3fps,imgtimestamp,0,0,0,0,69.19721364974976,true
59626ac0fbc5be35a4a08bdc,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2586.jpg,1,3fps,imgtimestamp,0,0,0,0,85.38258075714111,true
59626ac0fbc5be35a4a08bdd,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2227.jpg,1,3fps,imgtimestamp,0,0,0,0,86.31371259689331,true
59626ac0fbc5be35a4a08bde,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2172.jpg,1,3fps,imgtimestamp,0,0,0,0,88.44377994537354,true
